address,region,house_size,property_size,sales_price,sales_date
"
          Bryggbacken 4
        ","
            Ingarö - Värmdö,
          Värmdö kommun
        ","
                100 m²
             
              8 rum
          ","
              4 710 m² tomt
            ","
            Slutpris 15 250 000 kr
        ","
            Såld 10 november 2022
          "
"
          Hällvägen 8
        ","
            Jakobsberg,
          Järfälla kommun
        ","
                60
                ","
              1 014 m² tomt
            ","
            Slutpris 4 595 000 kr
        ","
            Såld 10 november 2022
          "
"
          Gösta Ekmans väg 17
        ","
            Saltsjö-Boo,
          Nacka kommun
        ","
                167
                ","
              1 101 m² tomt
            ","
            Slutpris 8 320 000 kr
        ","
            Såld 10 november 2022
          "
"
          Pelles väg 13A
        ","
            Skälsätra,
          Tyresö kommun
        ","
                164
                ","
              901 m² tomt
            ","
            Slutpris 7 950 000 kr
        ","
            Såld 10 november 2022
          "
"
          Fågelsunda 40
        ","
          Vallentuna kommun
        ","
                174 m²
             
              7 rum
          ","
              2 962 m² tomt
            ","
            Slutpris 4 500 000 kr
        ","
            Såld 10 november 2022
          "
"
          Kung Atles väg 7
        ","
            Bromma - Nockeby,
          Stockholms kommun
        ","
                147
                ","
              618 m² tomt
            ","
            Slutpris 14 950 000 kr
        ","
            Såld 10 november 2022
          "
"
          Västerstigen 5
        ","
            Spånga - Solhem,
          Stockholms kommun
        ","
                124
                ","
              1 342 m² tomt
            ","
            Slutpris 6 800 000 kr
        ","
            Såld 10 november 2022
          "
"
          Falkvägen 14
        ","
            Näsbypark,
          Täby kommun
        ","
                150 m²
             
              5 rum
          ","
              1 827 m² tomt
            ","
            Slutpris 10 510 000 kr
        ","
            Såld 10 november 2022
          "
"
          Marielundsvägen 19
        ","
            Adelsö Stenby,
          Ekerö kommun
        ","
                166
                ","
              1 347 m² tomt
            ","
            Slutpris 4 400 000 kr
        ","
            Såld 10 november 2022
          "
"
          Drabantvägen 45
        ","
            Boo Gård,
          Nacka kommun
        ","
                171
                ","
              3 745 m² tomt
            ","
            Slutpris 14 750 000 kr
        ","
            Såld 10 november 2022
          "
